"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2020","121.94","121.79","122.29","121.18","28.49M","0.79%"
"03/22/2020","120.98","119.45","121.39","119.26","31.66M","1.54%"
"03/15/2020","119.14","120.03","120.68","115.34","42.25M","1.53%"
"03/08/2020","117.35","123.25","123.41","114.40","72.55M","-2.53%"
"03/01/2020","120.40","117.55","121.31","116.97","55.39M","2.68%"
"02/23/2020","117.26","115.20","117.45","115.02","58.53M","2.63%"
"02/16/2020","114.25","113.45","114.53","113.30","18.93M","0.84%"
"02/09/2020","113.30","113.50","113.61","112.83","8.95M","0.04%"
"02/02/2020","113.26","113.61","113.84","112.56","25.19M","-0.68%"
"01/26/2020","114.04","113.19","114.12","112.78","22.35M","1.42%"
"01/19/2020","112.44","111.55","112.61","111.54","13.97M","1.02%"
"01/12/2020","111.30","111.11","111.62","110.98","12.61M","0.04%"
"01/05/2020","111.25","111.66","111.67","110.63","16.12M","-0.20%"
"12/29/2019","111.47","110.31","111.49","110.21","12.70M","0.70%"
"12/22/2019","110.69","110.31","110.73","110.04","5.82M","0.37%"
"12/15/2019","110.28","110.88","110.88","110.08","15.37M","-0.79%"
"12/08/2019","111.16","111.21","111.47","110.31","16.13M","0.17%"
"12/01/2019","110.97","110.87","112.17","110.81","21.24M","-0.54%"
"11/24/2019","111.57","111.70","111.99","111.44","12.39M","-0.11%"
"11/17/2019","111.69","111.36","112.02","111.33","19.30M","0.46%"
"11/10/2019","111.18","110.49","111.40","110.18","13.78M","0.85%"
"11/03/2019","110.24","111.63","111.69","109.97","24.28M","-1.69%"
"10/27/2019","112.13","111.19","112.58","111.05","27.25M","0.49%"
"10/20/2019","111.58","111.66","112.07","111.42","13.42M","-0.33%"
"10/13/2019","111.95","112.25","112.29","111.64","16.93M","0.04%"
"10/06/2019","111.90","113.56","113.86","111.72","23.45M","-1.68%"
"09/29/2019","113.81","112.21","113.89","111.81","26.11M","1.27%"
"09/22/2019","112.38","112.14","112.82","111.90","40.90M","0.34%"
"09/15/2019","112.00","110.90","112.02","110.75","35.92M","1.36%"
"09/08/2019","110.50","112.86","112.94","110.50","47.15M","-2.56%"
"09/01/2019","113.40","113.88","114.44","113.08","22.91M","-0.54%"
"08/25/2019","114.01","113.73","114.39","113.58","21.24M","0.20%"
"08/18/2019","113.78","113.04","113.94","113.00","25.86M","0.15%"
